analysis_version,classification,model_specification,analysis_role,sensitivity_dimension,review_id,group_id,test_name,starting_probability,sensitivity,specificity,information_bits,fraction_entropy_removed,post_negative_probability,crossing_probability
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.3,0.6915400611727838,0.8713569297045841,0.22321866752119818,0.253286023622907,0.13172894586168885,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.31,0.6915400611727838,0.8713569297045841,0.22671011968156168,0.25382541045644463,0.13721943736055114,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.32,0.6915400611727838,0.8713569297045841,0.22998516971995608,0.2543010670504233,0.14279935152981954,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.33,0.6915400611727838,0.8713569297045841,0.2330460329373074,0.2547156141420073,0.1484708909227763,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.34,0.6915400611727838,0.8713569297045841,0.23589481739245233,0.25507141683442874,0.15423633102574796,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.35000000000000003,0.6915400611727838,0.8713569297045841,0.23853352888133067,0.2553706097843602,0.16009802330209003,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.36000000000000004,0.6915400611727838,0.8713569297045841,0.24096407554948518,0.2556151189455204,0.1660583983899094,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.37,0.6915400611727838,0.8713569297045841,0.2431882721681068,0.25580668038833176,0.1721199694626616,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.38,0.6915400611727838,0.8713569297045841,0.24520784410078839,0.25594685662219074,0.1782853357623826,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.39,0.6915400611727838,0.8713569297045841,0.24702443098541255,0.25603705077201333,0.18455718631599238,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.4,0.6915400611727838,0.8713569297045841,0.2486395901531911,0.25607851890016997,0.19093830384583246,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.41000000000000003,0.6915400611727838,0.8713569297045841,0.25005479980470996,0.25607238071559446,0.19743156888638522,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.42000000000000004,0.6915400611727838,0.8713569297045841,0.2512714619609135,0.25601962887140767,0.20403996411997044,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.43,0.6915400611727838,0.8713569297045841,0.2522909052052492,0.2559211370189922,0.2107665789451299,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.44,0.6915400611727838,0.8713569297045841,0.2531143872316538,0.2557776667586504,0.2176146142923997,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.45,0.6915400611727838,0.8713569297045841,0.2537430972116715,0.2555898736036449,0.2245873877032435,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.46,0.6915400611727838,0.8713569297045841,0.2541781579927744,0.25535831205469905,0.23168833868907726,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.47000000000000003,0.6915400611727838,0.8713569297045841,0.25442062813881006,0.25508343986513593,0.2389210343885733,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.48000000000000004,0.6915400611727838,0.8713569297045841,0.2544715038225066,0.25476562156226024,0.24628917554279503,0.1280262761348617
