source,review_id,group_id,sensitivity_historical_reml,specificity_historical_reml,information_bits_at_20_percent_historical_reml,sensitivity_v042_manifest_sheet,specificity_v042_manifest_sheet,information_bits_at_20_percent_v042_manifest_sheet,study_rows,absolute_sensitivity_difference,absolute_specificity_difference,absolute_information_bits_at_20_percent_difference,row_selection_changed,interpretation
Modern Cochrane data package,CD015089,modern:CD015089:3,0.9206801978209872,0.710499786346464,0.2049991222857262,0.9206801978209748,0.7104997863464472,0.20499912228570538,5,1.2434497875801753e-14,1.687538997430238e-14,2.0816681711721685e-14,False,same locked analysis rows; regenerated central estimate
Modern Cochrane data package,CD015089,modern:CD015089:5,0.6542234395286232,0.884077483768068,0.1665873099937662,0.65422343553717,0.8840774789545278,0.16658730345498574,9,3.991453167984105e-09,4.813540233072899e-09,6.5387804615291145e-09,False,same locked analysis rows; regenerated central estimate
Modern Cochrane data package,CD015089,modern:CD015089:7,0.560737806904699,0.9711530349963458,0.222869243822098,0.560737803321923,0.9711530345652726,0.22286924082513943,9,3.5827759647943935e-09,4.310731771539622e-10,2.9969585702005475e-09,False,same locked analysis rows; regenerated central estimate
Modern Cochrane data package,CD015089,modern:CD015089:8,0.1935737089912762,0.9729359424055072,0.0435605035896256,0.1935737406082456,0.9729359352207364,0.0435605086733063,10,3.161696937592495e-08,7.184770778323468e-09,5.083680698625415e-09,False,same locked analysis rows; regenerated central estimate
OSF,OSF:4ag3v,osf:4ag3v:6467403361c93f13520d5db3:data-extraction:1:overall,0.736408376951736,0.8615313111010224,0.1932045376676189,0.7364083492032678,0.8615313131138356,0.19320452277959455,5,2.7748468189869868e-08,2.0128131383856385e-09,1.4888024341130901e-08,False,same locked analysis rows; regenerated central estimate
OSF,OSF:9kdc2,osf:9kdc2:6a5a976d17e419e789d14549:6a5a976d17e419e789d14549-file-s7-de-identified-dataset-csv:1:overall,0.9504128866689526,0.979057579049064,0.5611042735107916,0.9504128867980672,0.979057579066971,0.5611042737225682,30,1.2911460789410967e-10,1.7907009208784075e-11,2.1177659625948309e-10,False,same locked analysis rows; regenerated central estimate
OSF,OSF:agkq5,osf:agkq5:6a4477d97a3bb418825dd6b1:6a4477d97a3bb418825dd6b1-egc-dta-0630-csv:1:overall,0.9147709854284102,0.9116957653749428,0.3882350205207068,0.9147709850388525,0.9116957646268576,0.38823501904901986,34,3.8955771941573403e-10,7.480851493824048e-10,1.4716869389808096e-09,False,same locked analysis rows; regenerated central estimate
OSF,OSF:c82d3,osf:c82d3:643e8e6d1aa445375fa430fc:643e8e6d1aa445375fa430fc-raw-data-for-metadta-csv:1:overall,0.824304220302949,0.686762172836997,0.1276597740830951,0.8243042196127878,0.6867621728511568,0.12765977371451756,21,6.901612614740316e-10,1.4159784456069247e-11,3.6857752960806067e-10,False,same locked analysis rows; regenerated central estimate
OSF,OSF:ktp7h,osf:ktp7h:6a442f83a77d8f68d5932e47:6a442f83a77d8f68d5932e47-stat6-sft-2x2-dataset-csv:1:overall,0.9615677417960724,0.9766784054229974,0.5685591543206345,0.9615677418889742,0.9766784055224675,0.5685591547196307,23,9.290179736609616e-11,9.947009882438351e-11,3.9899616943728233e-10,False,same locked analysis rows; regenerated central estimate
OSF,OSF:m9ptk,osf:m9ptk:6a384c9c88243f9242c22cd9:6a384c9c88243f9242c22cd9-mtap-2x2-dataset-locked-csv:1:overall,0.5652282522211991,0.9061323897552088,0.140626547483634,0.5652282483301626,0.9061323907323215,0.1406265464554604,22,3.891036493008926e-09,9.77112724065421e-10,1.02817360181362e-09,False,same locked analysis rows; regenerated central estimate
