source,review_id,group_id,sensitivity,specificity,information_bits_at_20_percent,diagnostic_entropy_reduction_at_20_percent,zero_cell_study_fraction,pooled_sensitivity_median,pooled_specificity_median,information_bits_at_20_percent_median,relative_information_at_20_percent_median,canonical_reml_plugin_information_bits_at_20_percent,direct_binomial_plugin_information_bits_at_20_percent,absolute_like_for_like_plugin_information_bits_at_20_percent_difference,absolute_sensitivity_difference,absolute_specificity_difference,absolute_information_bits_at_20_percent_difference,absolute_relative_information_at_20_percent_percentage_points_difference
Cochrane DTA Reference Dataset,CD010653,legacy:CD010653:2,0.5770669591199561,0.733906803982879,0.04796668792176917,0.0664424729574392,0.0,0.562551922265221,0.7588561551594034,0.0525136798304875,0.072740872951732,0.04796668792176917,0.05253623130973484,0.004569543387965669,0.014515036854735097,0.024949351176524415,0.00454699190871833,0.6298399994292797
Cochrane DTA Reference Dataset,CD010653,legacy:CD010653:3,0.6176715234495895,0.9258056327892803,0.18931639871637834,0.2622371951681921,0.14285714285714285,0.5754069850183249,0.9450368885880944,0.1891881217076721,0.2620595084849688,0.18931639871637834,0.1896368800962659,0.00032048137988754943,0.04226453843126465,0.01923125579881413,0.00012827700870624015,0.01776866832233215
Cochrane DTA Reference Dataset,CD010657,legacy:CD010657:1,0.4461332215082634,0.7598979523073985,0.022737087673363188,0.031494947813203895,0.05,0.4202147416540932,0.7689432649500942,0.0196428613817742,0.0272088889750702,0.022737087673363188,0.019675081774185865,0.0030620058991773225,0.025918479854170173,0.009045312642695702,0.0030942262915889876,0.42860588381336967
Cochrane DTA Reference Dataset,CD010657,legacy:CD010657:2,0.5822832373271224,0.7513414184223314,0.05589924573867672,0.07743048945532215,0.09090909090909091,0.6661336702782846,0.6994004189881047,0.0635564601044205,0.0880371058482449,0.05589924573867672,0.06409185850290483,0.008192612764228113,0.08385043295116223,0.0519409994342267,0.007657214365743778,1.060661639292275
Cochrane DTA Reference Dataset,CD010657,legacy:CD010657:5,0.7338658567961608,0.48089850525647143,0.022530328713280312,0.031208549539543228,0.0,0.7904373077432707,0.4825071542165677,0.0375707010458631,0.0520421650188375,0.022530328713280312,0.03753307535270903,0.015002746639428716,0.056571450947109914,0.0016086489600962706,0.015040372332582791,2.0833615479294276
Cochrane DTA Reference Dataset,CD010657,legacy:CD010657:6,0.8818492162442587,0.44436368303156554,0.05977450855765884,0.08279842408264367,0.2,0.8680746812764963,0.4382183586832687,0.0522777518799556,0.0724140703903651,0.05977450855765884,0.05216081144370405,0.007613697113954793,0.013774534967762375,0.006145324348296843,0.007496756677703241,1.0384353692278567
Cochrane DTA Reference Dataset,CD010705,legacy:CD010705:24,0.8336580438395804,0.9784380826296857,0.4387575588190362,0.6077579774582573,0.3333333333333333,0.8423269551105759,0.9873736802725086,0.4716254195324595,0.6532858644406188,0.4387575588190362,0.47299621425512295,0.03423865543608673,0.00866891127099545,0.008935597642822923,0.03286786071342329,4.552788698236143
Cochrane DTA Reference Dataset,CD010705,legacy:CD010705:37,0.7160491488416085,0.9757033757130626,0.33650637425601465,0.46612173239845656,0.75,0.7736513071507667,0.9812640699571712,0.3925102220955793,0.5436971145399462,0.33650637425601465,0.3953167520070912,0.05881037775107656,0.05760215830915816,0.005560694244108544,0.056003847839564636,7.757538214148962
Cochrane DTA Reference Dataset,CD010705,legacy:CD010705:56,0.666155332742984,0.9834459207530594,0.31988228360777976,0.4430943827690885,0.3333333333333333,0.7272415214736543,0.9876332410319796,0.3724184532946585,0.515866408208929,0.31988228360777976,0.37708612274169956,0.0572038391339198,0.06108618873067029,0.004187320278920215,0.05253616968687874,7.2772025439840515
Cochrane DTA Reference Dataset,CD010772,legacy:CD010772:1,0.8885084941307586,0.658553054299075,0.15118408423275884,0.2094170947265144,0.15384615384615385,0.93388625730879,0.6186226628958171,0.1617585580727095,0.2240646391493431,0.15118408423275884,0.1623523937564054,0.011168309523646558,0.04537776317803144,0.039930391403257826,0.010574473839950665,1.46475444228287
Cochrane DTA Reference Dataset,CD010772,legacy:CD010772:7,0.8741999929040768,0.6762225296942236,0.15142663431992473,0.2097530701358157,0.0,0.8835612612827168,0.6945941375647023,0.1666615786711751,0.2308562027873125,0.15142663431992473,0.167887074613818,0.016460440293893264,0.009361268378640042,0.018371607870478757,0.015234944351250362,2.1103132651496797
Cochrane DTA Reference Dataset,CD011134,legacy:CD011134:2,0.807049311811851,0.7889868234329308,0.1788987698007898,0.24780690911980952,0.0,0.8092519071303678,0.7875347865439362,0.1773420352158553,0.2456505522804523,0.1788987698007898,0.17923603519149844,0.00033726539070863537,0.0022025953185167424,0.0014520368889946456,0.0015567345849345215,0.21563568393572208
Cochrane DTA Reference Dataset,CD011134,legacy:CD011134:3,0.6915400611727838,0.8713569297045841,0.1758257376914122,0.24355020802846733,0.043478260869565216,0.6992893657020327,0.8783722673879686,0.1863616585983036,0.2581443497186246,0.1758257376914122,0.18663664342160535,0.010810905730193165,0.007749304529248935,0.0070153376833844705,0.0105359209068914,1.459414169015727
Cochrane DTA Reference Dataset,CD011134,legacy:CD011134:4,0.6654235054406229,0.9468955654059342,0.24682598476758455,0.3418982950180034,0.14285714285714285,0.7194726163912097,0.9660816336889406,0.3173270472970383,0.4395549218049877,0.24682598476758455,0.3178786924634406,0.07105270769585603,0.05404911095058684,0.019186068283006397,0.07050106252945376,9.765662678698428
Cochrane DTA Reference Dataset,CD011420,legacy:CD011420:2,0.44152537712065115,0.9242503960900087,0.09945225576832867,0.13775922626178658,0.0,0.3715527304837827,0.9345854385540172,0.0787146391892816,0.1090339048261626,0.09945225576832867,0.07892650049605243,0.020525755272276236,0.06997264663686847,0.010335042464008515,0.020737616579047075,2.872532143562398
