source,source_version,review_id,review_title,doi,source_file,source_sha256,included_study_records,test_groups,stored_study_test_rows,reported_findings,model_candidates,primary_candidates
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010079,Informant Questionnaire on Cognitive Decline in the Elderly (IQCODE) for the diagnosis of dementia within community dwelling populations,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,11,16,53,5,4,2
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009694,Computed tomography (CT) angiography for confirmation of the clinical diagnosis of brain death,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,10,0,0,2,0,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009786,Laparoscopy for diagnosing resectability of disease in patients with advanced ovarian cancer,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,7,2,5,2,0,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009593,Xpert® MTB/RIF assay for pulmonary tuberculosis and rifampicin resistance in adults,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,36,10,312,6,8,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010173,Clinical assessment to screen for the detection of oral cavity cancer and potentially malignant disorders in apparently healthy adults,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,13,2,12,2,1,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009020,"Magnetic resonance imaging, magnetic resonance arthrography and ultrasonography for assessing rotator cuff tears in people with shoulder pain for whom surgery is being considered",,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,20,10,61,9,6,6
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD007427,"Physical tests for shoulder impingements and local lesions of bursa, tendon or labrum that may accompany impingement",,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,33,170,176,0,0,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD008054,Human papillomavirus testing versus repeat cytology for triage of minor cytological cervical lesions,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,43,38,262,4,12,2
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD008686,Red flags to screen for malignancy in patients with low-back pain,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,8,20,31,22,1,0
Modern Cochrane data package,CD014911-dataPackage.zip,CD014911,Artificial intelligence for detecting keratoconus,10.1002/14651858.CD014911.pub2,CD014911-dataPackage.zip,6f2c606c9864fb9a2c29322f39c29a6e38cf96df66c72d020c4a38d4663217e0,63,4,156,4,4,4
