replicate,median_fraction_5,median_fraction_20,median_fraction_50,sampled_profile_count
410,0.2475169164389699,0.3087139043396174,0.3323747462074982,253
411,0.2134900559561939,0.2690644418449852,0.2881366731751535,281
412,0.2466908804312628,0.3087139043396174,0.3339686828903065,277
413,0.22686476625974544,0.28857831345776774,0.3082683754235501,280
414,0.2407504271599652,0.3031004753118667,0.3323747462074982,251
415,0.2295689729788875,0.2897856256043002,0.3124603008240177,271
416,0.2247701874675925,0.2839605824146379,0.306464594352574,280
417,0.23214540744108447,0.29164245511824366,0.31290416668296656,254
418,0.22678931152477885,0.2893377402354912,0.31348523878830836,258
419,0.22326192312354445,0.2798873913452574,0.3082683754235501,256
420,0.22896309794785716,0.29164245511824366,0.318822931629464,280
421,0.251401290228081,0.3201679652089314,0.3339897366429449,247
422,0.2295689729788875,0.2897856256043002,0.3124603008240177,263
423,0.2225885318469096,0.2785574050284445,0.3056522978479856,280
424,0.25807328205230395,0.3175159416037659,0.3339897366429449,302
425,0.2434290734458516,0.308277376392337,0.3323747462074982,271
426,0.2479825925621485,0.3176659554135705,0.3325831437287708,282
427,0.22497078630203315,0.2873710013112353,0.3159535553759084,262
428,0.2405158114862979,0.3031004753118667,0.3312162367190932,283
429,0.2475169164389699,0.3176659554135705,0.3397972511480355,269
430,0.2748923129536655,0.3429291873260812,0.3628238054207248,253
431,0.2311241001150748,0.2913044791597471,0.3133480325419154,261
432,0.2466908804312628,0.3140241860645946,0.3397972511480355,245
433,0.2295689729788875,0.2913044791597471,0.3133480325419154,271
434,0.2479825925621485,0.31891696031125094,0.33970023344197464,284
435,0.23347763629010682,0.293128733608058,0.318822931629464,304
436,0.23214540744108447,0.28980157816152396,0.3082683754235501,276
437,0.251401290228081,0.31333029412703517,0.3334242477859789,270
438,0.26729310364416203,0.31891696031125094,0.3339897366429449,254
439,0.2635449660313971,0.3269394040180634,0.3339897366429449,300
440,0.2225513998401464,0.2797188391817147,0.30561246560217437,280
441,0.2475169164389699,0.3091446466503045,0.3325831437287708,281
442,0.22529685486769752,0.287591955758159,0.3138775859585222,292
443,0.2519862271506376,0.3091446466503045,0.3326397646085046,305
444,0.2466908804312628,0.3140241860645946,0.3323747462074982,285
445,0.2519862271506376,0.3235754292033026,0.3454107302410044,254
446,0.22326192312354445,0.2798738357434901,0.3007749257082882,284
447,0.2225513998401464,0.2798738357434901,0.2995291761211838,313
448,0.22504624103699977,0.28496554576396366,0.31127627912684924,282
449,0.2627361016291179,0.3223141758343399,0.3457936104342875,263
450,0.220040032771426,0.2763191674385685,0.3056522978479856,263
